BMS-2 Temperature (Celcius),BMS-2 SoC (%),BMS-1 Temperature (Celcius),BMS-1 SoC (%),Trip B (Km),Trip A (Km),Battery Efficiency (Km/kWh),Range Approximation (Km),Battery Voltage (mVolt),Signal Quality (%),Odometer2 (m),Odometer (Km),Vehicle Speed (Km/hr),GPS Heading (Degree),GPS VDOP,GPS HDOP,GPS Altitude (m),GPS Latitude,GPS Longitude,BMS-2 Current (Ampere),BMS-2 Voltage (Volt),BMS-1 Current (Ampere),BMS-1 Voltage (Volt),Events Group,Driver ID,RTC Log Datetime,RTC Send Datetime,Sequential ID,Frame ID (Type),Size (Bytes),CRC
0.00,0,0.00,0,0,0,11,245,3.942,54,18.750,5.128,22,90,2,1,0,-7.4378736,112.691392,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:04","Tue, 13 Oct 2020, 14:51:05",20.282,2 (Full),92,39579F66
0.00,0,0.00,0,0,0,6,250,3.978,54,18.709,5.128,29,102,2,1,0,-7.4378144,112.6909696,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:59","Tue, 13 Oct 2020, 14:51:00",20.281,2 (Full),92,6A4EBF0E
0.00,0,0.00,0,0,0,1,255,3.978,64,18.664,5.128,22,92,2,1,0,-7.4376944,112.6905472,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:54","Tue, 13 Oct 2020, 14:50:54",20.280,2 (Full),92,5D69DE63
0.00,0,0.00,0,0,0,252,4,3.978,64,18.646,5.128,20,96,2,1,0.2,-7.437684,112.6903552,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:49","Tue, 13 Oct 2020, 14:50:51",20.279,2 (Full),92,A497D6D6
0.00,0,0.00,0,0,0,247,9,3.978,67,18.629,5.128,7,102,2,1,0.2,-7.4376576,112.6900992,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:44","Tue, 13 Oct 2020, 14:50:48",20.278,2 (Full),92,85F561CC
0.00,0,0.00,0,0,0,242,14,3.978,67,18.629,5.128,0,0,2,1,0,-7.43764,112.6900352,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:39","Tue, 13 Oct 2020, 14:50:40",20.277,2 (Full),92,24EECCDB
0.00,0,0.00,0,0,0,237,19,3.978,58,18.629,5.128,0,0,2,1,0,-7.4376328,112.6900224,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:34","Tue, 13 Oct 2020, 14:50:35",20.276,2 (Full),92,6F90A3A2
0.00,0,0.00,0,0,0,232,24,3.978,64,18.629,5.128,9,98,2,1,0,-7.4375928,112.6899584,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:29","Tue, 13 Oct 2020, 14:50:31",20.275,2 (Full),92,DA4134AF
0.00,0,0.00,0,0,0,227,29,3.942,67,18.629,5.128,10,102,2,1,0,-7.4375384,112.6897024,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:24","Tue, 13 Oct 2020, 14:50:29",20.274,2 (Full),92,0307C981
0.00,0,0.00,0,0,0,222,34,3.978,67,18.629,5.128,14,106,2,1,0,-7.4375168,112.6896128,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:50:19","Tue, 13 Oct 2020, 14:50:26",20.273,2 (Full),92,AABA9733
